mfcc,chroma,mel,label
-295.98865~105.36255~-16.353527~5.4801188~-17.24374~6.9420037~-33.473927~0.5788547~-10.5783825~-24.458992~-24.915007~-8.813286~-21.125818~-11.45257~-6.7753973~-16.640827~-6.758724~-6.237219~-17.371618~-15.69175~-9.391254~-15.519545~-13.695481~-12.485676~-9.102538~-14.779177~-12.259056~-6.1502414~-4.998232~-3.2705593~-3.0403633~2.3817165~1.4569806~3.392184~3.7165787~2.6300123~2.0709827~8.548875~5.2011247~4.969652,0.6021514~0.48702985~0.45771214~0.4722117~0.42840543~0.4174191~0.4964547~0.53978366~0.57664853~0.60407156~0.6427049~0.6920853,1.5608983e-05~0.00020586695~0.0015100229~0.050917476~0.46112236~3.9540484~18.42536~24.930511~9.72556~0.93886435~0.116997704~0.57401925~2.5141797~6.306878~9.039184~10.815278~4.1291556~2.7629406~3.118979~3.3003469~4.1201644~1.983357~0.72301954~0.9435249~2.3114226~1.4664276~1.028407~2.1708646~1.8552761~1.0938535~1.5316101~5.6162586~11.2010145~12.747359~6.9799128~3.6096935~1.233614~1.8164748~2.4083278~2.3128486~0.98281497~0.5208899~0.81268686~0.6674656~2.9392629~2.531194~0.8999295~0.6078372~1.2829363~1.5822668~0.8989888~0.22838627~0.20435065~0.31013352~0.16221341~0.122850426~0.14008097~0.28556564~0.2938838~0.20884411~0.29553798~0.51086026~0.20840886~0.46203157~0.40806404~0.20903088~0.21829149~0.10142737~0.07744507~0.06270075~0.041656144~0.037500713~0.041819345~0.072425686~0.09778275~0.12642705~0.09250418~0.057486594~0.02549427~0.011153522~0.0014235695~0.0052419407~0.0104949055~0.006166947~0.0075851264~0.0116063375~0.0041570924~0.020544142~0.03723627~0.037453365~0.031191917~0.025536798~0.024576219~0.030754127~0.02975851~0.04502355~0.03157438~0.019815782~0.016011944~0.0143387215~0.019662501~0.015767552~0.011234778~0.010934129~0.010797017~0.008232898~0.0056301886~0.005077759~0.0069574285~0.0056658117~0.0037987772~0.006221246~0.005458233~0.0032151109~0.0038129888~0.0022364461~0.0012396149~0.0007019498~0.00049201195~0.00028408415~0.00012375087~7.192419e-05~4.511496e-05~4.5774992e-05~3.987799e-05~2.4609306e-05~1.4799689e-05~4.6536825e-06,anger
-308.15204~119.90065~-23.716702~-9.39748~-22.811966~-12.084092~-38.187237~-5.6871376~-17.04495~-28.550045~-20.697027~-19.472506~-19.21977~-14.722571~-12.805149~-17.572527~-0.4091151~-11.120164~-21.841745~-9.781399~-13.834362~-19.08805~-15.660788~-7.3413787~-4.942838~-4.670782~0.60299975~10.047702~9.111913~8.03663~5.985269~6.554425~-1.160925~4.435622~10.028387~7.6503353~2.9142947~3.3572521~2.2248342~0.021931877,0.6032951~0.5813256~0.61445487~0.57001597~0.4514798~0.34389415~0.34193614~0.3587722~0.34269893~0.4089825~0.52317756~0.59819186,4.3338773e-06~1.0461925e-05~5.4465807e-05~0.0012100188~0.023849411~0.41862494~6.1443067~9.214376~10.525536~9.335103~3.2605834~0.2906134~0.2165686~1.0003072~3.120511~7.896921~8.87761~9.906486~8.326152~9.193849~6.7352586~1.3852553~1.288114~1.2631999~1.0336839~1.2178298~2.5088098~5.13193~5.841467~4.9065104~3.8386662~7.907997~3.6124568~2.0736465~7.1941113~12.671045~15.303257~3.9980571~2.2699869~0.6644022~0.17380404~0.5078667~1.4332057~1.890992~1.4243327~0.45998964~0.38611802~0.3800707~0.44380397~0.72898954~0.49518195~0.12617645~0.1571526~0.14737493~0.1023408~0.06113907~0.023692964~0.032884046~0.044369888~0.044518586~0.07399656~0.20393667~0.13167706~0.19245392~0.092656545~0.15900564~0.22759847~0.1303773~0.05842102~0.02305108~0.0062377728~0.0044096317~0.0067817178~0.006087374~0.023931118~0.03651488~0.052637585~0.021958027~0.011414981~0.01264088~0.0049786195~0.0028876546~0.005952582~0.0030885667~0.0021562898~0.0030375822~0.0022794805~0.0064342227~0.008054428~0.008561332~0.015743537~0.0052965647~0.01441635~0.014278987~0.014024179~0.01857576~0.023638124~0.019951383~0.019383863~0.016483825~0.017473247~0.00992983~0.01382092~0.011595182~0.008324279~0.0060810726~0.0044991714~0.0044165663~0.0028317824~0.0025580248~0.0019098402~0.002275022~0.001898669~0.0017429926~0.00086910196~0.00064318645~0.00035494938~0.0004028701~0.00020246686~0.000101195576~6.138929e-05~6.310886e-05~0.00011008871~0.00011662366~7.056478e-05~3.0222653e-05~1.1279432e-05~2.2383645e-06,anger
-305.94824~110.138985~-13.923437~17.175982~-19.088024~11.481032~-12.318154~-12.44422~-4.2067943~-8.897902~-20.888304~-13.906188~-3.983785~-3.0384097~-7.37532~-5.5965953~-8.893981~-8.900036~-2.9899275~-7.7062516~-10.166579~-5.031889~-7.227314~-13.558925~-8.724928~-4.1916428~-10.054641~-11.470411~-7.9614944~-4.9995313~-4.3711767~-6.3329744~-3.731625~-2.7371278~-4.1707644~-4.1060505~-5.259128~-0.25449148~0.960636~-3.3069909,0.66323256~0.6077178~0.6698733~0.70354384~0.65688044~0.5919917~0.5373339~0.55173784~0.582858~0.5872855~0.6117616~0.66325164,6.722516e-05~0.0027697557~0.09731158~0.96077687~1.5965242~1.8837612~5.328421~3.729666~1.4905661~0.7703086~0.725289~1.1146057~2.1252136~3.6782978~8.488984~11.312284~2.6819825~1.9833242~2.7761707~3.1889899~2.6837459~3.5431747~5.829721~4.4781256~2.2958088~1.1244073~1.3308655~1.3729684~1.3336244~0.6431947~0.39367244~0.37958395~0.42563024~0.7630339~0.6860285~1.092315~1.600348~1.5801599~1.7005031~2.5458732~2.0095236~2.103018~1.6394519~1.2953123~0.5603765~0.48662075~0.6382415~0.5119636~0.34854382~0.54453105~0.25732845~0.1999635~0.19741502~0.25646925~0.26357353~0.27133182~0.09290111~0.09880694~0.29257724~0.26655576~0.31684864~0.7999354~0.39773095~0.12531663~0.09370822~0.05032922~0.03904994~0.04098953~0.02615119~0.028160913~0.013588748~0.029189132~0.0211385~0.049050223~0.023195192~0.0058211135~0.0048951856~0.008813919~0.0063672327~0.0037995598~0.005611699~0.013617528~0.01454331~0.00898763~0.016097486~0.015216762~0.012412042~0.017176451~0.015005662~0.018880336~0.010686641~0.012297941~0.011125528~0.012196566~0.015214477~0.011640563~0.013128463~0.013362445~0.014826614~0.0151283005~0.012461656~0.0066805575~0.010842158~0.0060706837~0.0037597339~0.005892744~0.0029881322~0.0018750775~0.0009553919~0.0010134348~0.00072022725~0.00055927364~0.0005540029~0.0004942886~0.0003820967~0.00026355512~0.00019068089~0.0001576775~0.00014795775~0.00013251402~0.000105000705~4.858946e-05~3.0678162e-05~2.020727e-05~1.7151067e-05~1.1542171e-05~1.0026776e-05~7.5864e-06,anger
-286.55246~118.74021~-25.84763~20.624996~-28.50524~15.193023~-16.625254~-12.083715~-6.472505~-14.872097~-18.501776~-11.063104~-11.921403~-6.485443~1.3086149~-3.7523887~-10.560576~-6.4461603~2.6208794~-13.534709~-12.89624~0.011620753~-6.3420486~-9.021183~-8.883596~-6.908392~-8.951261~-3.4315548~-9.73893~-6.70001~-9.734513~-7.689476~-8.282808~-5.4777694~-7.113191~-7.234957~-4.2411633~-3.578881~-6.460086~-3.3761916,0.6495695~0.682862~0.7412222~0.70849925~0.65806806~0.6283361~0.540687~0.5725056~0.59010774~0.6046423~0.63840795~0.64689946,4.422941e-05~0.0014562423~0.05136057~0.6052398~1.5804332~1.7121985~1.0082933~0.27858847~0.42846072~1.4333413~2.1479378~1.6897001~4.0383~5.5070148~3.9228144~4.29865~2.5053382~2.6981733~3.2196486~3.250992~2.4854074~5.029882~4.12558~1.2241931~1.4197323~1.2119532~0.7911288~0.5544713~0.6417402~0.4343169~0.40807173~1.4471033~1.5425234~1.011005~0.8838002~2.0714464~4.53039~4.844464~2.4383028~1.1357923~1.4301112~2.2186637~1.4169573~0.56781024~0.586407~0.906247~0.76809865~0.45275512~0.36923775~0.1857922~0.3406258~0.25891694~0.1788481~0.09287406~0.19912623~0.20263232~0.30862176~0.27617884~0.27618~0.18321732~0.073108286~0.06237599~0.04207651~0.04337961~0.016392512~0.008545036~0.008980309~0.009990769~0.024302136~0.050665867~0.07410355~0.0825761~0.061288465~0.05023867~0.033941995~0.026607027~0.009923688~0.0079770535~0.007735619~0.0037944205~0.0070340857~0.022423916~0.019099602~0.014761415~0.051515516~0.039954927~0.02546535~0.030773953~0.030915627~0.023258096~0.040693916~0.030050732~0.035363786~0.026374035~0.025073243~0.039385185~0.02909171~0.035170235~0.032449994~0.020059612~0.021216804~0.022207301~0.012971768~0.010376551~0.006886637~0.0049025295~0.0022814446~0.0018314896~0.001526804~0.0012577426~0.0010366726~0.00084585615~0.0009761763~0.0005637897~0.00034033845~0.00025336628~0.00014266279~7.062576e-05~3.191792e-05~3.0052017e-05~3.8454284e-05~5.5244902e-05~6.117352e-05~4.6163404e-05~2.59777e-05~1.255288e-05~6.0070643e-06~2.248541e-06,anger
-322.03024~99.978195~-34.859497~10.481912~-0.50237185~-6.6971507~-17.594072~7.3867946~-10.478507~-14.569497~-9.105253~-2.5301208~-14.13718~-4.0013585~-3.0713506~-10.969895~-2.9533927~-3.4561162~-13.746695~-4.72319~-0.19697523~-1.2481385~7.9222097~3.057035~-0.40821418~5.414016~3.9923906~7.3508544~2.9343822~0.017035851~2.6220918~1.0705546~2.526706~0.56665933~0.52167284~3.3244889~-1.2828832~-1.4092261~-1.8092984~3.5257037,0.5436057~0.5823237~0.59510565~0.58050835~0.5322669~0.50674087~0.5236551~0.53321016~0.5252086~0.5420144~0.56786364~0.5417451,0.0018223199~0.0021862376~0.0032291228~0.00397113~0.0042979126~0.02666176~0.86411846~2.2999206~1.9809711~2.3772418~4.4437947~2.255973~2.1394928~1.1920384~0.48554963~0.34374622~0.20774373~1.9127967~3.048967~2.9227073~2.8797598~1.0403568~2.1070504~2.7916465~1.5668987~1.4142878~1.3012214~0.58614165~0.55010724~0.85706925~2.0429192~1.561136~1.5814649~3.0980883~2.5429444~1.1867868~1.3826103~2.3481648~4.094247~10.673293~4.522821~1.3194512~0.81582355~0.70165575~0.30371824~0.7422266~2.9959044~1.7744421~1.057484~1.2125505~1.3897172~1.2142931~1.0534627~0.1745035~0.05288776~0.02416876~0.2101486~0.33794054~0.1645866~0.16480105~0.1615468~0.11900178~0.08518549~0.13845812~0.37441674~0.44604826~0.44724864~0.22127528~0.20399606~0.110866815~0.20627981~0.17839596~0.087804995~0.050383136~0.0654615~0.08237277~0.073955595~0.07112556~0.087135956~0.073174216~0.023975309~0.009987957~0.003465037~0.0067624496~0.004799749~0.0020596003~0.0034960213~0.003540567~0.006747594~0.011585233~0.008502733~0.0060598627~0.007712332~0.010286388~0.01045672~0.0065336875~0.0044857403~0.0043679825~0.004115667~0.0043876967~0.00394994~0.0033361614~0.003031224~0.0028626672~0.0027553071~0.0017043315~0.0011599549~0.0009231429~0.0009860225~0.00087501446~0.00079590123~0.0007783273~0.0006444978~0.00043963722~0.00031794625~0.00030625588~0.00026427562~0.00020469229~0.00016681307~0.00010647321~6.880205e-05~4.6004734e-05~3.8048896e-05~3.8554143e-05~2.9885123e-05~2.1206068e-05~1.214593e-05~6.3014268e-06,anger
-408.35382~71.162766~3.655639~10.145593~0.6450343~9.990051~-11.973956~2.3719382~2.8818946~-0.2496292~-6.6704392~3.6234815~-1.7805314~-5.0194173~-2.6710966~1.262851~-3.1671515~0.9046686~0.653196~-1.977998~-1.8050992~-1.1476327~-2.1980433~-0.825926~-2.4107225~-0.8282753~-3.286907~-2.0288234~-0.9576406~0.19749992~0.6019854~1.0850769~2.467554~3.0834734~1.0101631~1.0823239~1.3590511~2.4628687~1.2844405~2.574259,0.7168456~0.66676813~0.648994~0.64135873~0.6555903~0.6829566~0.69567215~0.7299471~0.73541814~0.71974516~0.7038501~0.7060373,0.054570224~0.010057988~0.036205113~0.4270342~1.4357262~1.945065~3.1085725~4.463353~4.0305676~1.6062516~2.4063807~1.8650945~2.296283~1.7056035~0.9360774~1.3209567~2.0755622~2.0778756~0.68409204~0.5527019~0.6061461~0.817763~1.1891729~0.9910705~1.9230695~1.8057257~1.2595702~0.74080896~0.504957~0.4084706~0.68597776~1.1659812~0.85012496~0.6961845~0.29953474~0.20459425~0.22751631~0.18937883~0.18904951~0.20693104~0.33856913~0.43866172~0.27604485~0.20368388~0.20227118~0.26147205~0.29760492~0.18163888~0.05866281~0.046956193~0.0806689~0.12800758~0.0896556~0.07568957~0.16247708~0.25005007~0.17286567~0.07495201~0.100198776~0.11451983~0.117799684~0.17176247~0.0883334~0.06481385~0.043299336~0.028702961~0.035343707~0.029775484~0.058001146~0.09052346~0.062639415~0.0702163~0.019280892~0.010896893~0.004294148~0.003371025~0.003748104~0.003698842~0.004100539~0.0038094814~0.004358973~0.0045438423~0.0040204213~0.0033611066~0.005196449~0.005675341~0.009126118~0.007915351~0.006215304~0.00473645~0.005506434~0.0042189355~0.0048056343~0.0048028263~0.0032450678~0.003115479~0.002750745~0.002465584~0.0025367425~0.0021704012~0.0029158874~0.003064802~0.0037422196~0.003054793~0.0027692362~0.0022637437~0.0019562885~0.0018984071~0.0017511848~0.0017646962~0.0018877006~0.0016900055~0.0012029986~0.00095048716~0.00080195925~0.0007563958~0.00061750604~0.00047419698~0.00040748145~0.0003720744~0.0003375976~0.00022689394~0.00017300999~0.00015572512~0.00013338655~8.197957e-05~5.1385432e-05~3.1095715e-05,anger
-301.06317~85.0203~-42.286934~13.171523~-11.330982~-6.0158834~-34.76781~-9.790276~-11.234474~-28.107248~-19.681381~-6.418672~-23.24038~-10.755287~-8.253827~-11.974779~-8.706319~-4.477293~-17.933372~-14.242534~-4.5978293~-13.548306~-6.9383144~-1.054931~-4.7799716~-4.7854443~-1.1232151~-1.3637607~-3.6296656~2.5089247~4.2540803~3.1856635~6.9142146~2.9018912~3.5435317~5.8431563~3.7754245~1.9364481~-0.28716868~2.5730288,0.61307615~0.5162567~0.4914493~0.48116684~0.4544914~0.4969648~0.53744537~0.523706~0.49663353~0.5414983~0.5955307~0.60105747,0.001076788~0.0012564842~0.0012315941~0.010187068~0.06940257~0.507956~7.2073255~13.173448~6.143369~2.421877~3.3823762~2.9388425~2.1726644~8.388061~10.948053~12.0878~15.427259~13.5515175~9.012524~10.949805~11.286195~8.142674~10.532372~9.525256~9.976441~6.716055~3.1151392~1.9711322~4.190202~7.7934513~3.3908112~4.292052~7.255114~9.4460335~4.9738617~2.1768248~2.7921395~6.8188066~6.5437694~3.126758~2.6629777~3.8287003~3.708052~1.3656191~1.4270341~2.3565419~1.2538406~1.1926264~1.058099~1.6369684~3.0733147~0.8997932~0.36860693~0.39957467~0.121265896~0.15836419~0.21363212~0.19542561~0.20707898~0.27852932~0.23127925~0.15581234~0.12237301~0.22946806~0.5917193~0.60635835~0.3883013~0.40148684~0.2774408~0.22830807~0.14840521~0.16449119~0.28759226~0.086904906~0.1666427~0.119587556~0.20059825~0.16153198~0.03774605~0.02472146~0.02124223~0.011695385~0.007233018~0.010060668~0.009289272~0.007913425~0.013561856~0.016137747~0.011838402~0.024650367~0.024706839~0.014006624~0.013929341~0.018543975~0.017701918~0.015337391~0.011645266~0.016585732~0.015975824~0.007524275~0.0071307058~0.009471398~0.008168374~0.006863557~0.0057961047~0.0044378103~0.0035212762~0.003399253~0.0035458521~0.0022195796~0.0015685516~0.0019271054~0.0015359764~0.0013347897~0.0010435266~0.0006378791~0.00062332675~0.00052234903~0.00038300944~0.00025480878~0.00019123747~0.00010014742~5.9821366e-05~4.6829227e-05~3.666773e-05~2.6751835e-05~1.876577e-05~8.167903e-06,anger
-286.8829~76.90854~-23.232195~17.083683~-24.310059~-3.9881372~-24.178818~-3.067296~-2.7673075~-11.8197775~-16.763563~-1.1790859~-16.223238~-7.59067~-0.13804083~-7.59952~3.3652415~-6.006519~-9.554136~0.060892522~1.3070974~1.9461739~12.1485195~18.669207~9.548168~4.998104~3.5984497~3.1380422~1.4429866~4.7381563~2.119993~0.34500206~-4.3745837~-2.8007505~-2.2523484~0.76554984~-4.7577386~-1.1131555~-4.7314987~-5.7085905,0.5241155~0.544002~0.54956365~0.47083026~0.4214285~0.48291713~0.57550335~0.6306~0.5143584~0.4183242~0.43173158~0.45599198,0.001503837~0.0049589835~0.0038026804~0.0043911487~0.010563042~0.051145863~0.36389458~0.6714122~1.6070706~2.6901639~5.5243607~11.456656~7.568054~0.98910457~0.096940935~0.117355675~0.19305669~1.6182925~3.5675182~2.8549821~3.3239686~6.1746516~11.843224~8.4883375~4.3034816~1.1638739~0.6012598~0.8424983~0.978904~0.99024236~1.3784727~8.490178~9.264594~15.8830385~26.782593~26.252888~9.125046~0.8293167~0.16541597~0.05634652~0.5304278~1.1379845~0.74788696~0.6202331~0.7591118~0.5200097~0.10784668~0.06233092~0.2057604~0.113543846~0.25554606~0.2940278~0.11242645~0.07210685~0.08533285~0.0796994~0.060779665~0.11018886~0.060434673~0.028548904~0.038232874~0.05120951~0.09864067~0.05180509~0.046746973~0.06750007~0.20756777~0.13760433~0.120381154~0.058978803~0.030991938~0.01600836~0.025034396~0.016607964~0.012736461~0.018235553~0.03340743~0.030078242~0.01404253~0.020829434~0.01882378~0.009001831~0.009299558~0.012986881~0.012440335~0.024636345~0.035157766~0.04178095~0.05784221~0.053087585~0.07077743~0.061888963~0.104133405~0.13238363~0.096485764~0.1058554~0.08654669~0.100520544~0.070598856~0.044546053~0.025999138~0.01575292~0.013431773~0.0078203315~0.0052730055~0.0025915054~0.0027915963~0.006412374~0.01023288~0.015661113~0.015673496~0.00857212~0.0055723474~0.0035915263~0.0025217044~0.0021921~0.0020605396~0.0011861065~0.00053527224~0.00021912708~0.00016684919~0.00016500974~0.00020728713~0.00018076468~0.00013630472~5.7962836e-05~2.3247158e-05~8.839291e-06,anger
-351.36835~92.13641~-31.444544~24.417374~-30.272566~2.9045577~-16.4496~-16.001303~-15.537175~-12.463947~-20.460638~-13.1859255~-5.9888287~-7.605366~-12.082016~-10.017921~-9.626775~-15.2469635~-12.164738~-9.606134~-3.1449587~-0.48176098~-3.0176387~-2.9127307~-3.797632~-2.031801~-3.9501936~-5.0232077~-2.2796445~-0.9252531~-0.29556185~-1.9823041~-2.2762644~-2.32961~-3.712473~-2.3191113~-4.05804~-2.4812608~0.374683~-1.2278095,0.58355945~0.6373953~0.6383673~0.6578228~0.63753176~0.60305554~0.6035878~0.6225292~0.56863725~0.5333203~0.5345456~0.54449177,1.902725e-05~0.00053573947~0.031888902~0.2804636~0.46639553~0.49955955~0.5924191~0.45528263~0.7039806~0.7212032~0.7991746~1.2129693~1.1893873~0.9377923~0.5101452~0.41459405~0.8900795~1.8835489~1.8787543~2.4071877~1.996897~2.349545~3.834315~3.483111~3.5629919~1.6345998~0.9318288~0.37338284~0.16535015~0.1453662~0.18048818~0.31287068~0.5853781~0.7884189~0.79627156~0.79113215~0.69365174~0.6902902~0.5954532~0.62006706~0.40882567~0.31576228~0.1934685~0.20165834~0.24674861~0.12875003~0.1735758~0.21706842~0.20506701~0.14850478~0.09275755~0.057707883~0.046003383~0.05185254~0.08401039~0.086920805~0.04109252~0.016866583~0.022191374~0.03427393~0.038104996~0.06450495~0.056542188~0.045431904~0.02074967~0.014591668~0.015777664~0.014920364~0.01531321~0.0123538~0.0040920307~0.0065088733~0.0073272064~0.010774973~0.011779831~0.008121515~0.013381995~0.014831251~0.014661217~0.012987382~0.014902933~0.018088141~0.014026133~0.011413129~0.016206905~0.012075758~0.011375236~0.018823177~0.018125~0.014273863~0.0099591~0.010632153~0.008749401~0.011312956~0.010384865~0.009402764~0.011381069~0.010684241~0.014721871~0.014657203~0.00874625~0.0055421786~0.004675213~0.0029623169~0.0020987422~0.0018318521~0.0018638009~0.0018842948~0.0016197524~0.0010264572~0.00071785797~0.00054414076~0.00038717434~0.00035408261~0.00033445522~0.00022104458~0.00014299894~9.259861e-05~6.393401e-05~4.938752e-05~2.8079818e-05~1.538286e-05~1.2353907e-05~9.915655e-06~9.663134e-06~4.773661e-06~2.588641e-06~7.4004055e-07,anger
-304.04483~86.781334~-33.238186~27.991283~-27.673262~13.4948435~-23.96289~-10.553112~-11.273544~-8.823068~-19.306793~-7.489296~-13.844318~-6.9047685~0.14037605~-7.095444~-10.556912~-8.410379~-2.6542199~-14.2753935~-6.5809608~-5.902926~-7.9076867~-9.302153~-10.0847845~-9.942313~-6.872446~-7.5088596~-9.865036~-6.334787~-6.714941~-3.1299963~-3.495133~-0.98310345~-1.9066998~1.5039861~-1.9411304~-1.4061213~-2.3232188~-1.3261926,0.65187836~0.6667175~0.6894963~0.59989804~0.54318666~0.55278033~0.5758098~0.623653~0.63970107~0.6694865~0.6781147~0.6930991,2.5378522e-05~0.00059288804~0.017850792~0.21855739~0.55723995~0.6979634~1.2707404~1.0195462~0.48726985~0.771466~0.71290874~0.6109882~1.6882148~3.4748015~5.47874~9.352986~4.364139~3.36588~2.5006783~3.0464077~2.8637743~3.2848468~3.119368~1.7788553~1.9451445~1.3647196~1.1218572~0.9493581~1.0814639~1.0104616~0.689862~2.4837086~2.4221718~1.5731184~2.2055733~3.1449318~3.804836~2.8280656~1.7429985~1.2940342~0.5918109~0.28270066~0.13598658~0.11487193~0.2479675~0.32279003~0.46075186~0.26795572~0.24557391~0.58753777~0.39600843~0.3159979~0.2586251~0.12646358~0.10394384~0.11283929~0.18311635~0.26242328~0.2717395~0.16341898~0.09694435~0.05358177~0.035077594~0.061428774~0.029524399~0.017309494~0.019108713~0.030315263~0.05734999~0.04805629~0.050621636~0.04097885~0.03969019~0.037636712~0.027651677~0.037222207~0.022500847~0.013985024~0.013452947~0.015181954~0.008117964~0.011095551~0.017719457~0.018295208~0.0282642~0.038537133~0.062395073~0.0747575~0.14743814~0.11956894~0.07594855~0.060278177~0.051929202~0.048066802~0.050588768~0.029153809~0.030398473~0.029877834~0.025576502~0.023007074~0.026114516~0.027496828~0.022583846~0.015550453~0.011311769~0.0061409697~0.003506254~0.0031507858~0.0032953545~0.0027086423~0.0024409345~0.0021699364~0.0019706963~0.0012163563~0.0007721896~0.0005997317~0.00040006058~0.00020661215~9.6369615e-05~4.3635744e-05~1.6084425e-05~1.1226638e-05~1.5804804e-05~1.886107e-05~1.5222027e-05~1.2067891e-05~5.767627e-06~1.757703e-06,anger
